game,res,league,howmany,scores
Sheff Wed v Nottm Forest,X,en2,538,1-1:2-1:1-0:1-2:0-1:0-2:2-0:0-0
Birmingham v Cardiff,X,en2,530,1-1:2-1:1-2:1-0:2-0:0-1:0-2
Brentford v Watford,X,en2,531,1-1:2-1:1-2:1-0:2-2:2-0:0-1
Huddersfield v Coventry,X,en2,532,2-1:1-1:1-0:1-2:2-0:0-1:0-2
Luton v Middlesbrough,X,en2,533,2-1:1-1:1-2:1-0:2-0:0-1:0-2
Millwall v Bristol City,0,en2,534,2-1:1-0:2-0:1-1:1-2:0-2:0-0:0-1
Norwich v Reading,10,en2,535,2-0:2-1:3-1:1-0:3-0:1-1:1-2
Preston v Barnsley,X,en2,536,1-2:1-1:2-1:1-0:0-1:0-2:2-0:2-2
Rotherham v Blackburn,X,en2,537,1-2:1-1:2-1:0-2:0-1:1-0:2-0:2-2
Stoke v QPR,X,en2,539,2-1:1-1:1-2:1-0:2-0:2-2:0-0:0-1:0-2
Swansea v Derby,10,en2,540,2-0:2-1:1-0:1-1:3-1:1-2:3-0:0-0
Wycombe v Bournemouth,21,en2,541,1-2:0-2:1-3:1-1:0-3:1-0:0-1
Luton v Rotherham,10,en2,306,2-1:1-0:2-0:1-1:0-1:1-2:3-1
Leicester v Newcastle,10,en,345,2-0:2-1:1-0:3-0:3-1:1-1
Leeds v Tottenham,X,en,344,1-2:1-1:2-1:2-2:1-3:1-0:0-2:0-1
Sheff Utd v Crystal Palace,X,en,348,1-1:0-1:1-2:1-0:0-2:0-0:2-1
Man City v Chelsea,0,en,347,2-1:2-0:1-1:3-1:2-2:1-0:1-2
Liverpool v Southampton,10,en,346,2-0:2-1:3-0:3-1:1-0:1-1
Wolves v Brighton,0,en,350,1-1:2-1:1-0:2-0:1-2:0-1:0-0
Aston Villa v Man Utd,2,en,342,1-2:1-1:1-3:0-2:2-1:0-1
West Ham v Everton,0,en,349,2-1:1-1:1-0:2-2:2-0:1-2
Arsenal v West Brom,10,en,341,2-0:2-1:3-0:1-0:3-1:1-1
Fulham v Burnley,X,en,343,1-1:1-0:2-1:1-2:0-1:2-0:0-0:0-2
Southampton v Crystal Palace,0,en,319,1-1:2-1:2-0:1-0:1-2:0-1:0-0:0-2
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
Leicester v Southampton,10,enf,122,2-0:2-1:3-1:3-0:1-0
Chelsea v Leicester,1,enf,123,1-2:2-1:1-1:0-1:3-1:1-0:3-2
Lens v Lille,2,fr,352,1-2:0-2:3-3:0-0:0-1:1-1:2-1:3-4
Nantes v Bordeaux,X,fr,355,1-1:2-0:2-1:1-0:1-2:0-1:0-2:3-0
Lyon v Lorient,10,fr,353,2-0:3-0:1-0:1-2:2-1:1-1:3-1:4-0:4-1
Saint-Étienne v Marseille,X,fr,359,1-2:1-1:1-0:0-1:0-2:2-0:2-1:2-2:2-4:3-2
