game,res,league,howmany,scores
Cardiff v West Brom,21,en2,109,1-2:0-2:1-1:1-3:2-1:1-0:0-1:2-0
Huddersfield v Blackburn,X,en2,110,1-2:1-1:2-1:1-0:0-1:2-2:0-2:2-0:1-3
Hull v Blackpool,X,en2,111,1-1:2-1:1-0:0-1:2-0:1-2:2-2:0-0:0-2
Middlesbrough v Sheff Utd,X,en2,112,1-1:1-2:0-1:2-1:0-2:2-2:2-0:1-0:1-3
Preston v Stoke,X,en2,113,1-1:1-2:2-1:0-2:1-0:2-2:0-1:2-0:1-3
QPR v Birmingham,10,en2,114,2-1:2-0:1-0:1-1:3-1:1-2:2-2
Barnsley v Nottm Forest,0,en2,115,1-1:2-1:1-0:2-0:0-1:1-2:0-0
Derby v Reading,X,en2,116,1-2:1-1:0-1:2-1:0-2:1-0:2-0:0-0
Fulham v Swansea,10,en2,117,2-0:2-1:3-1:1-0:1-1:3-0
Luton v Coventry,X,en2,118,1-2:1-1:2-2:2-1:1-0:0-1:0-2:0-0:1-3
Millwall v Bristol City,X,en2,119,1-1:2-1:1-2:1-0:2-0:0-0:0-1
Peterborough v Bournemouth,21,en2,120,0-2:1-3:1-2:0-3:1-1:0-1:1-0
Man Utd v Everton,10,en,67,2-1:2-0:3-1:1-1:1-0:3-0:2-2
Burnley v Norwich,10,en,62,1-0:2-0:2-1:1-1:0-0
Chelsea v Southampton,10,en,63,2-0:3-0:3-1:2-1:1-0:4-0
Leeds v Watford,0,en,65,2-1:1-1:2-0:1-0:3-1:2-2:1-2
Wolves v Newcastle,0,en,70,1-1:2-1:1-0:2-0:1-2:0-1
Brighton v Arsenal,X,en,61,1-2:1-1:2-1:0-2:1-0:0-1:1-3:2-2
Crystal Palace v Leicester,X,en,64,1-2:1-1:2-1:0-2:0-1:2-2:1-0:1-3
Tottenham v Aston Villa,X,en,68,2-1:1-1:1-2:2-0:1-0:2-2:0-1
West Ham v Brentford,0,en,69,2-1:2-0:1-1:2-2:1-0:3-1:1-2
Liverpool v Man City,X,en,66,1-1:2-2:1-2:2-1:1-0:0-0
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
Leicester v Southampton,10,enf,122,2-0:2-1:3-1:3-0:1-0
Chelsea v Leicester,1,enf,123,2-1:1-2:3-1:2-0:0-1:1-0:1-1:2-2
Lens v Reims,0,fr,82,1-0:2-1:1-1:1-2:2-0:0-0:0-2:3-0
Montpellier v Strasbourg,X,fr,86,2-0:2-1:1-0:1-1:1-2:0-0:0-1:0-2:2-2:3-0
Nice v Brest,0,fr,88,1-1:2-0:2-1:1-0:0-2:1-2:3-1:0-0:3-0
Rennes v PSG,2,fr,89,1-2:0-2:0-3:1-1:1-3:0-1:1-0:0-0:0-4:2-1:2-2
Angers v Metz,X,fr,81,1-1:0-1:1-2:0-0:1-0:2-1:0-2:2-0:0-3:2-2
Lorient v Clermont,X,fr,84,1-2:2-1:1-1:2-0:1-0:2-2:0-0:0-1:0-2:3-0
Monaco v Bordeaux,X,fr,85,1-1:2-0:2-1:0-2:1-0:1-2:3-0:3-1:0-0:1-3:4-1:5-0
Nantes v Troyes,X,fr,87,1-0:2-0:1-1:2-1:0-1:1-2:3-0:0-0:0-2:2-2:3-1:4-1
Lille v Marseille,X,fr,83,1-1:1-0:1-2:2-1:0-0:0-2:2-3:0-1:3-2
