game,res,league,howmany,scores
Watford v Reading,0,en2,492,2-1:2-0:1-0:1-1:3-1:0-0
Millwall v Swansea,X,en2,489,1-1:1-2:1-0:2-1:0-2:0-1:1-3:2-0:2-2
Barnsley v Middlesbrough,0,en2,482,2-1:2-0:1-1:1-0:1-2:0-1:2-2
Birmingham v Stoke,X,en2,483,1-1:1-2:2-1:0-1:1-0:0-2:2-0:0-0
Bournemouth v Coventry,10,en2,484,2-0:2-1:3-1:1-0:3-0:1-1
Bristol City v Nottm Forest,X,en2,485,1-1:1-2:2-1:2-0:0-1:0-2:1-0:1-3
Cardiff v Blackburn,0,en2,486,2-1:2-0:1-0:1-1:1-2:0-0
Derby v Norwich,21,en2,487,1-2:0-2:1-3:1-1:0-1:0-3:1-0:2-1
Huddersfield v Rotherham,0,en2,488,1-1:2-1:1-0:2-0:1-2:2-2:0-0:3-1
Preston v Brentford,1,en2,490,1-2:0-2:1-1:0-1:1-0:2-1:1-3
QPR v Sheff Wed,X,en2,491,2-1:1-1:2-0:1-0:1-2:0-1
Wycombe v Luton,X,en2,493,1-1:2-1:1-2:1-0:0-1:0-0:2-0:0-2:3-1
Huddersfield v Bournemouth,21,en2,450,1-2:0-2:1-1:0-1:2-1:1-0:1-3
Sheff Wed v Swansea,2,en2,348,1-2:0-2:1-1:0-1:2-1:1-3:1-0:2-0
Rotherham v QPR,X,en2,347,1-1:1-2:1-0:2-1:2-2:0-0:0-1:2-0
Rotherham v Coventry,X,en2,431,1-1:2-1:1-2:1-0:0-1:2-0:0-0:0-2:2-2
Fulham v Wolves,X,en,304,1-1:1-2:2-1:1-0:0-1:0-2:2-2
Man City v Leeds,10,en,306,3-1:3-0:2-0:2-1:4-1:4-0
Liverpool v Aston Villa,10,en,305,2-1:2-0:3-1:3-0:1-1:1-0
Crystal Palace v Chelsea,21,en,303,1-2:0-2:1-1:1-3:0-1:2-1
Burnley v Newcastle,0,en,302,1-1:1-0:2-1:2-0:1-2:0-1:0-0:2-2
West Ham v Leicester,X,en,310,2-2:1-1:1-2:2-1
Tottenham v Man Utd,X,en,308,1-2:1-1:2-1:2-2:1-3
Sheff Utd v Arsenal,21,en,307,0-2:1-2:0-1:1-3:1-1:0-3:1-0
West Brom v Southampton,X,en,309,1-1:2-1:1-2:1-0:2-2:0-1:0-2:2-0:0-0
Brighton v Everton,X,en,301,1-2:1-1:2-1:0-2:0-1:1-0:2-2:1-3
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:2-1:1-3:1-0:1-1:0-1:0-2:2-2:2-0
Leicester v Southampton,10,enf,122,2-0:3-1:2-1:1-0:3-0
TBC v TBC,X,enf,123,1-0:1-1:2-1:0-1:1-2:0-2:2-0:3-1
Metz v Lille,21,fr,314,1-2:0-2:0-1:1-3:1-1:0-3:2-1
Strasbourg v PSG,21,fr,320,1-2:1-3:0-2:0-3:2-1:1-4:2-0:0-1:0-4:1-0:1-1
Montpellier v Marseille,X,fr,316,1-1:1-2:2-1:0-1:1-0:2-0:2-2:0-0:0-2
Rennes v Nantes,X,fr,318,1-1:1-0:2-1:2-0:1-2:3-1:0-1:0-2
Brest v Nîmes,X,fr,311,1-0:2-1:1-1:2-0:1-2:0-0:0-1:0-2:2-2:3-0
Lens v Lorient,1,fr,312,2-0:2-1:1-0:1-1:1-2:0-1:3-1:0-2:3-0:3-2
Nice v Reims,0,fr,317,2-1:1-0:1-1:2-0:0-0:1-2:4-0:0-2:3-1
Saint-Étienne v Bordeaux,0,fr,319,2-1:1-1:1-0:1-2:2-0:0-1:3-1:1-3:2-2:3-0
Monaco v Dijon,10,fr,315,2-0:2-1:3-0:3-1:4-0:1-0:4-1:1-1:1-2:4-2
Lyon v Angers,10,fr,313,2-0:3-0:3-1:1-0:1-1:2-1:0-0:1-2:4-2
Arminia Bielefeld v Freiburg,X,de,245,1-1:1-0:1-2:2-1:0-1:0-2:0-0
Bayern Munich v Union Berlin,10,de,247,2-0:3-0:3-1:2-1:4-1:1-0:4-0:1-1:3-2
Frankfurt v Wolfsburg,X,de,246,2-1:1-1:2-2:1-0:0-1:1-2:0-2:3-2:2-0
Hertha Berlin v B Mgladbach,X,de,249,1-2:1-1:2-1:1-3:1-0:0-1:0-2:2-0:2-2:2-3
Werder Bremen v RB Leipzig,21,de,250,1-2:0-2:1-1:0-1:1-3:0-3:1-0:2-1:3-1
Stuttgart v B Dortmund,X,de,252,1-2:1-1:2-1:1-3:0-1:0-2:1-0:0-0:0-3:2-0:2-2
Schalke v Augsburg,X,de,248,1-1:0-2:0-1:1-2:1-0:2-1:2-0:0-0:1-3
Köln v Mainz,X,de,244,1-1:2-1:1-2:1-0:2-0:0-0:0-1:0-2:2-2
Hoffenheim v B Leverkusen,X,de,251,1-2:1-1:0-1:2-2:2-1:1-0:0-2:0-0:1-3:2-0
Volos NFC v Panetolikos,0,gr,197,1-0:2-0:2-1:1-1:0-0:0-1
Apollon Smyrnis v OFI,X,gr,198,1-1:0-1:2-1:1-0:0-2:1-2:1-3:2-0:2-2
Atromitos Athens v Larissa,X,gr,199,1-1:2-1:1-0:0-1:1-2:2-0:3-1
Aris v AEK Athens,X,gr,200,1-1:2-1:1-0:2-0:0-1:1-2:2-2:0-0:0-2
Asteras Tripolis v PAOK Salonika,2,gr,201,1-2:1-1:0-2:1-3:0-1:2-1:0-3:1-0:2-0
Olympiakos v Panathinaikos,0,gr,202,2-0:2-1:3-1:1-1:3-0:1-0:0-0:0-1:3-2
PAS Giannina v Lamia,0,gr,203,1-0:2-0:1-1:2-1:0-1:0-0:0-2:1-2:3-0
Spezia v Crotone,10,it,298,2-1:1-0:1-1:2-0:1-2:0-2:1-3:0-0:2-2
Parma v AC Milan,21,it,295,1-2:0-2:1-1:1-3:2-1:0-0:0-1:0-3:2-2:2-3
