game,res,league,howmany,scores
Barnsley v Norwich,X,en2,542,1-2:1-1:2-1:1-3:2-2:2-3:0-1:0-2:1-0
Blackburn v Birmingham,0,en2,543,2-1:1-1:2-0:1-0:1-2:0-1:3-1
Bournemouth v Stoke,10,en2,544,2-0:2-1:1-0:3-0:3-1:1-2
Bristol City v Brentford,21,en2,545,1-2:0-2:0-1:1-1:1-3:2-1:0-3:1-0
Cardiff v Rotherham,10,en2,546,2-0:2-1:1-0:1-1:3-0:3-1:0-0:1-2
Coventry v Millwall,0,en2,547,1-1:2-1:1-0:1-2:0-0:2-2
Derby v Sheff Wed,X,en2,548,1-0:1-2:2-1:1-1:0-1:2-0:0-0
Middlesbrough v Wycombe,10,en2,549,2-0:2-1:1-1:1-2:1-0:3-0
Nottm Forest v Preston,X,en2,550,2-1:1-1:1-0:2-0:1-2:3-1:0-2
QPR v Luton,0,en2,551,2-1:1-0:2-0:1-1:1-2:0-0:2-2:3-1:3-2
Reading v Huddersfield,10,en2,552,2-0:1-0:2-1:1-1:3-1:1-2:3-0
Watford v Swansea,0,en2,553,2-1:2-0:1-1:2-2:0-0:1-0:1-2:3-1
Leicester v Newcastle,10,en,345,2-0:2-1:3-0:3-1:1-0:1-1
Leeds v Tottenham,X,en,344,1-2:1-1:2-1:1-3:2-2:0-2:0-1:1-0
Sheff Utd v Crystal Palace,X,en,348,1-1:0-1:1-2:0-2:1-0:0-0:2-1
Man City v Chelsea,0,en,347,2-1:2-0:1-1:3-1:2-2:1-0:1-2
Liverpool v Southampton,10,en,346,2-0:2-1:3-0:3-1:1-0:1-1
Wolves v Brighton,X,en,350,1-1:2-1:1-0:1-2:2-0:0-1:0-0
Aston Villa v Man Utd,21,en,342,1-2:1-3:0-2:1-1:2-1:2-2:0-1
West Ham v Everton,0,en,349,2-1:1-1:2-2:2-0:1-2:1-0:0-1
Arsenal v West Brom,10,en,341,2-0:2-1:3-0:3-1:1-0:1-1
Fulham v Burnley,X,en,343,1-1:1-0:1-2:2-1:0-1:2-0:0-2:0-0:2-2
Southampton v Crystal Palace,0,en,319,1-1:2-1:2-0:1-0:1-2:0-1:0-0:0-2
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
Leicester v Southampton,10,enf,122,2-0:2-1:3-1:3-0:1-0
Chelsea v Leicester,1,enf,123,2-1:1-2:1-1:0-1:3-1:1-0:2-0:3-2
Lens v Lille,21,fr,352,1-2:0-2:0-1:1-1:3-3:0-0:2-1:3-4
Nantes v Bordeaux,0,fr,355,1-1:2-0:2-1:1-0:1-2:0-0:0-1:0-2:2-2:3-0
Lyon v Lorient,10,fr,353,2-0:3-0:1-0:3-1:1-2:2-1:1-1:4-0:4-1
Saint-Étienne v Marseille,X,fr,359,1-2:1-1:0-2:1-0:2-1:0-1:2-0:2-2:2-4:3-2
Angers v Dijon,10,fr,351,1-0:2-0:2-1:0-1:1-1:1-2:0-0:3-0
Metz v Nîmes,X,fr,354,1-0:1-2:2-0:1-1:2-1:0-1:2-2:0-0:0-2:3-0:3-1
Nice v Brest,1,fr,356,2-0:1-0:2-1:1-1:0-1:1-2:0-2:4-1
Strasbourg v Montpellier,X,fr,360,1-1:2-1:1-2:2-0:0-0:0-1:2-2:1-0:1-4
Reims v Monaco,2,fr,357,1-2:0-3:1-3:0-1:1-1:0-0:0-2:1-0:2-1
Rennes v PSG,21,fr,358,1-2:1-3:0-2:0-1:0-3:1-1:2-1:0-4:1-0:1-4:2-4
Mainz v Hertha Berlin,X,de,254,1-1:2-1:1-2:1-0:2-2:0-1:0-0:0-2
Hertha Berlin v Freiburg,1,de,267,1-0:2-1:2-0:1-2:1-1:0-2:3-1
Stuttgart v Augsburg,0,de,287,2-1:1-1:1-0:2-0:1-2:3-1:0-1:2-2
B Dortmund v RB Leipzig,X,de,281,2-1:1-2:2-2:1-1:3-1:3-2:1-0:2-0:2-3
Hoffenheim v Schalke,10,de,286,2-0:2-1:1-0:3-0:3-1:1-1:1-2
Werder Bremen v B Leverkusen,2,de,285,1-2:1-1:1-3:0-2:0-1:2-1:2-2:2-3:1-0
Wolfsburg v Union Berlin,10,de,288,2-0:2-1:1-0:3-1:1-1:1-2:2-2:3-0
